SN	IP-List	FirstDate	LastDate	Type
1	27.254.41.7	2013-01-11	2013-01-11	C2 Server
2	210.65.54.182	2013-01-15	2013-01-15	C2 Server
3	61.178.77.169	2013-01-15	2013-01-15	C2 Server
4	98.126.75.154	2013-01-16	2013-01-16	C2 Server
5	100.42.217.73	2013-01-18	2013-01-18	C2 Server
6	61.147.122.39	2013-01-18	2013-01-18	C2 Server
7	80.23.42.142	2013-01-21	2013-01-21	C2 Server
8	61.221.55.121	2013-01-26	2013-01-26	C2 Server
9	91.98.133.77	2013-01-26	2013-01-26	C2 Server
10	211.72.32.176	2013-02-06	2013-02-06	C2 Server
11	59.120.64.38	2013-02-06	2013-02-06	C2 Server
12	59.120.114.189	2013-02-06	2013-02-06	C2 Server
13	218.87.243.14	2013-02-20	2013-02-20	C2 Server
14	152.26.21.206	2013-02-19	2013-02-26	C2 Server
15	77.110.221.108	2013-03-01	2013-03-01	C2 Server
16	220.246.28.90	2013-03-06	2013-03-06	C2 Server
17	192.154.102.168	2013-03-08	2013-03-08	C2 Server
18	114.39.55.178	2013-03-12	2013-03-12	C2 Server
19	114.40.29.13	2013-03-12	2013-03-12	C2 Server
20	103.30.5.193	2013-03-14	2013-03-14	C2 Server
21	216.131.115.70	2013-03-19	2013-03-19	C2 Server
22	103.30.5.240	2013-03-20	2013-03-20	C2 Server
23	108.171.207.231	2013-03-20	2013-03-20	C2 Server
24	210.242.152.91	2013-03-21	2013-03-21	C2 Server
25	211.234.117.77	2013-03-25	2013-03-25	C2 Server
26	112.213.96.236	2013-01-21	2013-03-25	C2 Server
27	112.121.182.150	2013-03-28	2013-03-28	C2 Server
28	202.130.112.231	2013-03-28	2013-03-28	C2 Server
29	65.19.141.203	2013-04-01	2013-04-01	C2 Server
30	120.63.190.132	2013-04-06	2013-04-06	C2 Server
31	211.22.126.83	2013-04-07	2013-04-07	C2 Server
32	203.114.123.68	2013-04-08	2013-04-08	C2 Server
33	118.97.36.242	2013-04-10	2013-04-10	C2 Server
34	121.139.38.121	2013-04-10	2013-04-10	C2 Server
35	46.149.18.14	2013-05-14	2013-05-14	C2 Server
36	202.51.180.58	2013-05-13	2013-05-24	C2 Server
37	143.89.145.156	2013-07-30	2013-07-30	C2 Server
38	61.222.137.66	2013-08-12	2013-08-12	C2 Server
39	162.211.84.6	2013-09-03	2013-09-03	C2 Server
40	175.45.4.158	2013-10-11	2013-10-11	C2 Server
41	118.175.7.74	2013-11-12	2013-11-12	C2 Server
42	185.29.8.21	2013-11-12	2013-11-12	C2 Server
43	185.6.80.139	2013-12-18	2014-01-10	C2 Server
44	198.209.212.82	2014-05-20	2014-05-20	C2 Server
45	216.185.114.219	2014-11-19	2014-11-20	C2 Server
46	204.152.219.70	2015-03-06	2015-03-06	C2 Server
47	194.28.191.218	2015-03-27	2015-03-27	C2 Server
48	46.160.125.167	2015-03-27	2015-03-27	C2 Server
49	195.3.157.218	2015-03-25	2015-03-27	C2 Server
50	59.188.13.204	2015-04-21	2015-04-21	C2 Server
51	79.172.242.87	2015-10-21	2015-10-21	C2 Server
52	192.169.82.86	2015-12-02	2015-12-10	C2 Server
53	192.225.226.98	2015-12-14	2015-12-14	C2 Server
54	103.27.108.122	2016-04-15	2016-04-15	C2 Server
55	103.40.101.71	2016-08-08	2016-08-08	C2 Server
56	213.208.129.211	2016-09-01	2016-09-01	C2 Server
57	66.210.97.90	2016-09-13	2016-09-25	C2 Server
58	121.240.97.34	2016-10-24	2016-10-26	C2 Server
59	52.43.39.139	2016-10-19	2016-11-04	C2 Server
60	60.248.184.188	2016-11-10	2016-11-11	C2 Server
61	46.102.152.129	2017-04-12	2017-04-12	C2 Server
62	103.238.227.39	2017-05-12	2017-05-12	C2 Server
63	104.243.34.82	2017-08-10	2017-08-11	C2 Server
64	45.58.122.71	2017-08-17	2017-08-17	C2 Server
65	97.64.41.97	2018-03-27	2018-03-27	C2 Server
66	122.10.90.9	2018-09-04	2018-09-04	C2 Server
67	211.21.23.46	2018-09-20	2018-09-20	C2 Server
68	103.110.80.48	2018-10-23	2018-10-23	C2 Server
69	83.146.222.219	2018-10-31	2018-10-31	C2 Server
70	103.110.80.20	2018-11-01	2018-11-01	C2 Server
71	199.83.230.216	2018-11-01	2018-11-02	C2 Server
